product_category_name,product_category_name_english,product_id
cama_mesa_banho,bed_bath_table,11115
beleza_saude,health_beauty,9670
esporte_lazer,sports_leisure,8641
moveis_decoracao,furniture_decor,8334
informatica_acessorios,computers_accessories,7827
utilidades_domesticas,housewares,6964
relogios_presentes,watches_gifts,5991
telefonia,telephony,4545
ferramentas_jardim,garden_tools,4347
automotivo,auto,4235
brinquedos,toys,4117
cool_stuff,cool_stuff,3796
perfumaria,perfumery,3419
bebes,baby,3064
eletronicos,electronics,2767
papelaria,stationery,2517
fashion_bolsas_e_acessorios,fashion_bags_accessories,2031
pet_shop,pet_shop,1947
moveis_escritorio,office_furniture,1691
consoles_games,consoles_games,1137
malas_acessorios,luggage_accessories,1092
construcao_ferramentas_construcao,construction_tools_construction,929
eletrodomesticos,home_appliances,771
instrumentos_musicais,musical_instruments,680
eletroportateis,small_appliances,679
casa_construcao,home_construction,604
livros_interesse_geral,books_general_interest,553
alimentos,food,510
moveis_sala,furniture_living_room,503
casa_conforto,home_confort,434
bebidas,drinks,379
audio,audio,364
market_place,market_place,311
construcao_ferramentas_iluminacao,construction_tools_lights,304
climatizacao,air_conditioning,297
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,281
alimentos_bebidas,food_drink,278
industria_comercio_e_negocios,industry_commerce_and_business,268
livros_tecnicos,books_technical,267
telefonia_fixa,fixed_telephony,264
fashion_calcados,fashion_shoes,262
eletrodomesticos_2,home_appliances_2,238
construcao_ferramentas_jardim,costruction_tools_garden,238
agro_industria_e_comercio,agro_industry_and_commerce,212
artes,art,209
pcs,computers,203
sinalizacao_e_seguranca,signaling_and_security,199
construcao_ferramentas_seguranca,construction_tools_safety,194
artigos_de_natal,christmas_supplies,153
fashion_roupa_masculina,fashion_male_clothing,132
fashion_underwear_e_moda_praia,fashion_underwear_beach,131
moveis_quarto,furniture_bedroom,109
construcao_ferramentas_ferramentas,costruction_tools_tools,103
tablets_impressao_imagem,tablets_printing_image,83
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,76
cine_foto,cine_photo,72
dvds_blu_ray,dvds_blu_ray,64
livros_importados,books_imported,60
fashion_roupa_feminina,fashio_female_clothing,48
artigos_de_festas,party_supplies,43
fraldas_higiene,diapers_and_hygiene,39
musica,music,38
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,38
flores,flowers,33
casa_conforto_2,home_comfort_2,30
fashion_esporte,fashion_sport,30
artes_e_artesanato,arts_and_craftmanship,24
cds_dvds_musicais,cds_dvds_musicals,14
la_cuisine,la_cuisine,14
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,8
seguros_e_servicos,security_and_services,2
