seller_city,product_id,order_item_id,price,seller_state
sao paulo,27983,27983,2702878.14,SP
ibitinga,7750,7750,624592.9400000001,SP
curitiba,3016,3016,470759.82,PR
rio de janeiro,2442,2442,358413.59,RJ
guarulhos,2362,2362,329494.38,SP
ribeirao preto,2269,2269,275976.44,SP
itaquaquecetuba,1653,1653,230568.12,SP
guariba,1156,1156,229472.63,SP
santo andre,2964,2964,228561.6,SP
lauro de freitas,411,411,225525.05,BA
piracicaba,1903,1903,212677.82,SP
belo horizonte,2593,2593,207671.23,MG
maringa,2220,2220,207257.51,PR
barueri,474,474,196053.17,SP
sao jose do rio preto,2579,2579,195863.38,SP
sumare,608,608,195825.21,SP
sao bernardo do campo,1125,1125,179363.91,SP
campinas,1430,1430,179285.45,SP
teresopolis,233,233,130342.09,RJ
salto,1346,1346,126274.45,SP
petropolis,840,840,117649.8,RJ
santa barbara d´oeste,350,350,112500.31,SP
limeira,933,933,112472.92,SP
porto alegre,802,802,104088.3,RS
ilicinea,770,770,101901.16,MG
campo limpo paulista,1195,1195,101372.8,SP
londrina,404,404,100689.59,PR
cascavel,532,532,100464.68,PR
osasco,605,605,99693.57,SP
jacarei,954,954,92653.77,SP
sao jose dos campos,803,803,89291.04,SP
brasilia,861,861,87795.0,DF
franca,644,644,87498.76,SP
praia grande,1333,1333,87374.63,SP
joinville,670,670,86892.22,SC
recife,401,401,85376.0,PE
videira,303,303,76885.4,SC
itatiba,482,482,68624.91,SP
diadema,200,200,68174.73,SP
sorocaba,586,586,64421.04,SP
caxias do sul,228,228,63923.82,SP
nova friburgo,90,90,62579.26,RJ
bombinhas,94,94,60130.6,SC
mogi guacu,231,231,60059.25,SP
araraquara,234,234,56828.09,SP
riberao preto,268,268,56363.24,SP
sao caetano do sul,169,169,55010.63,SP
itauna,270,270,54824.22,MG
lages,122,122,52623.84,SC
penapolis,447,447,48319.72,SP
uberlandia,416,416,47959.43,MG
pradopolis,165,165,47928.68,SP
brusque,393,393,47626.85,SC
jau,442,442,47587.49,SP
mogi das cruzes,403,403,45803.89,SP
santos,562,562,45479.63,SP
araguari,512,512,45029.15,MG
presidente prudente,424,424,44594.39,SP
blumenau,488,488,43632.840000000004,SC
pedreira,708,708,42923.35,SP
atibaia,620,620,41300.11,SP
uba,229,229,40572.87,MG
borda da mata,511,511,40347.64,MG
formiga,158,158,38340.76,MG
goiania,286,286,37946.62,GO
sao goncalo,376,376,37503.31,RJ
umuarama,193,193,37478.28,PR
guara,259,259,37153.4,SP
hortolandia,339,339,36836.369999999995,SP
sao luis,405,405,36408.95,MA
braganca paulista,99,99,36230.12,SP
marilia,232,232,34358.69,SP
indaiatuba,292,292,33964.1,SP
itajai,263,263,33142.73,SC
novo hamburgo,146,146,32312.62,RS
cotia,232,232,32174.22,SP
jundiai,275,275,30681.69,SP
rolandia,184,184,29840.68,PR
divinopolis,140,140,29185.05,MG
maua,491,491,29088.75,SP
monte siao,269,269,29052.53,MG
florianopolis,250,250,28698.05,SC
colombo,144,144,28617.79,PR
montenegro,142,142,27359.9,RS
niteroi,87,87,27347.56,RJ
betim,306,306,26818.63,MG
assis,317,317,26178.23,SP
serra negra,198,198,26065.8,SP
sarandi,185,185,26049.45,PR
macae,43,43,25685.399999999998,RJ
baependi,194,194,25617.69,MG
cajamar,204,204,25414.89,SP
vicosa,44,44,25277.8,MG
cariacica,240,240,25200.03,ES
jaragua do sul,217,217,24914.23,SC
foz do iguacu,197,197,23647.96,PR
