seller_city,product_id,order_item_id,price
sao paulo,27983,27983,2702878.14
ibitinga,7750,7750,624592.9400000001
curitiba,3016,3016,470759.82
rio de janeiro,2442,2442,358413.59
guarulhos,2362,2362,329494.38
ribeirao preto,2269,2269,275976.44
itaquaquecetuba,1653,1653,230568.12
guariba,1156,1156,229472.63
santo andre,2964,2964,228561.6
lauro de freitas,411,411,225525.05
piracicaba,1903,1903,212677.82
belo horizonte,2593,2593,207671.23
maringa,2220,2220,207257.51
barueri,474,474,196053.17
sao jose do rio preto,2579,2579,195863.38
sumare,608,608,195825.21
sao bernardo do campo,1125,1125,179363.91
campinas,1430,1430,179285.45
teresopolis,233,233,130342.09
salto,1346,1346,126274.45
petropolis,840,840,117649.8
santa barbara d´oeste,350,350,112500.31
limeira,933,933,112472.92
porto alegre,802,802,104088.3
ilicinea,770,770,101901.16
campo limpo paulista,1195,1195,101372.8
londrina,404,404,100689.59
cascavel,532,532,100464.68
osasco,605,605,99693.57
jacarei,954,954,92653.77
sao jose dos campos,803,803,89291.04
brasilia,861,861,87795.0
franca,644,644,87498.76
praia grande,1333,1333,87374.63
joinville,670,670,86892.22
recife,401,401,85376.0
videira,303,303,76885.4
itatiba,482,482,68624.91
diadema,200,200,68174.73
sorocaba,586,586,64421.04
caxias do sul,228,228,63923.82
nova friburgo,90,90,62579.26
bombinhas,94,94,60130.6
mogi guacu,231,231,60059.25
araraquara,234,234,56828.09
riberao preto,268,268,56363.24
sao caetano do sul,169,169,55010.63
itauna,270,270,54824.22
lages,122,122,52623.84
penapolis,447,447,48319.72
uberlandia,416,416,47959.43
pradopolis,165,165,47928.68
brusque,393,393,47626.85
jau,442,442,47587.49
mogi das cruzes,403,403,45803.89
santos,562,562,45479.63
araguari,512,512,45029.15
presidente prudente,424,424,44594.39
blumenau,488,488,43632.840000000004
pedreira,708,708,42923.35
atibaia,620,620,41300.11
uba,229,229,40572.87
borda da mata,511,511,40347.64
formiga,158,158,38340.76
goiania,286,286,37946.62
sao goncalo,376,376,37503.31
umuarama,193,193,37478.28
guara,259,259,37153.4
hortolandia,339,339,36836.369999999995
sao luis,405,405,36408.95
braganca paulista,99,99,36230.12
marilia,232,232,34358.69
indaiatuba,292,292,33964.1
itajai,263,263,33142.73
novo hamburgo,146,146,32312.62
cotia,232,232,32174.22
jundiai,275,275,30681.69
rolandia,184,184,29840.68
divinopolis,140,140,29185.05
maua,491,491,29088.75
monte siao,269,269,29052.53
florianopolis,250,250,28698.05
colombo,144,144,28617.79
montenegro,142,142,27359.9
niteroi,87,87,27347.56
betim,306,306,26818.63
assis,317,317,26178.23
serra negra,198,198,26065.8
sarandi,185,185,26049.45
macae,43,43,25685.399999999998
baependi,194,194,25617.69
cajamar,204,204,25414.89
vicosa,44,44,25277.8
cariacica,240,240,25200.03
jaragua do sul,217,217,24914.23
foz do iguacu,197,197,23647.96
tres coracoes,263,263,23103.24
garca,115,115,22979.63
congonhal,109,109,22873.21
pinhais,167,167,22834.03
navegantes,131,131,22710.05
suzano,88,88,22388.13
santa barbara d'oeste,295,295,22090.34
santo angelo,62,62,21992.78
carapicuiba,214,214,21859.62
bauru,192,192,21841.79
pirituba,175,175,21712.9
contagem,183,183,21456.11
votuporanga,138,138,21107.47
apucarana,136,136,20758.38
salvador,119,119,20642.48
santana de parnaiba,169,169,20228.04
cachoeirinha,67,67,20146.3
votorantim,262,262,20056.34
canoas,172,172,19709.39
arapongas,142,142,19492.51
sao jose dos pinhais,158,158,18539.24
viamao,81,81,17568.08
capivari,172,172,17546.28
guanambi,22,22,17522.0
ribeirao pires,231,231,17266.56
laranjal paulista,251,251,17246.81
andradas,57,57,17212.49
sao carlos,165,165,16994.96
rio do sul,208,208,16890.25
registro,76,76,16786.84
uberaba,49,49,16401.260000000002
fortaleza,50,50,16104.12
louveira,142,142,15960.95
juiz de fora,129,129,15615.09
patos de minas,167,167,15198.300000000001
sao ludgero,119,119,15082.1
itapecerica da serra,185,185,14989.67
campo mourao,55,55,14737.84
americana,109,109,14439.82
mamanguape,16,16,14368.61
porto ferreira,226,226,14274.18
rio claro,118,118,14094.130000000001
sao jose,150,150,13887.18
tupa,85,85,13735.41
jaboticabal,137,137,13719.06
teixeira soares,78,78,13533.65
botucatu,134,134,13485.51
congonhas,41,41,13422.24
jussara,92,92,13154.7
mirandopolis,78,78,13132.2
campo largo,75,75,13011.6
volta redonda,156,156,12954.79
amparo,97,97,12650.07
sete lagoas,278,278,12514.699999999999
queimados,66,66,12333.390000000001
serrana,18,18,12227.82
s jose do rio preto,112,112,11983.28
santa rita do sapucai,105,105,11946.2
birigui,134,134,11729.85
sombrio,17,17,11423.6
bariri,35,35,11366.5
jacutinga,109,109,10917.41
araras,46,46,10790.85
itajobi,23,23,10723.08
timbo,114,114,10574.95
fernandopolis,108,108,10508.83
sao  paulo,52,52,10309.42
aparecida de goiania,79,79,10292.310000000001
itapevi,77,77,10241.74
paincandu,9,9,10220.5
campo bom,20,20,10170.3
francisco beltrao,72,72,10076.55
guaruja,63,63,9978.75
ipatinga,37,37,9784.5
varginha,29,29,9630.05
lajeado,67,67,9549.49
ponte nova,97,97,9478.300000000001
sao roque,99,99,9456.77
bofete,3,3,9399.97
paulinia,43,43,9392.06
gama,33,33,9385.699999999999
castro,21,21,9347.55
lencois paulista,106,106,9195.220000000001
vicente de carvalho,225,225,9027.4
cuiaba,88,88,8968.22
carazinho,57,57,8909.48
ilheus,21,21,8865.47
sao paulo - sp,106,106,8791.7
mateus leme,26,26,8757.98
sao joaquim da barra,66,66,8711.4
sao sebastiao,48,48,8599.0
valinhos,90,90,8576.39
poa,165,165,8526.04
nilopolis,48,48,8470.7
vila velha,22,22,8405.89
pompeia,33,33,8311.88
scao jose do rio pardo,64,64,8285.42
catanduva,46,46,7994.45
duque de caxias,26,26,7914.8
canoinhas,157,157,7866.9
claudio,141,141,7821.66
tubarao,34,34,7807.33
sinop,55,55,7784.5
california,6,6,7630.0
arraial d'ajuda (porto seguro),30,30,7595.87
conselheiro lafaiete,57,57,7533.5
criciuma,34,34,7499.900000000001
nova iguacu,71,71,7440.599999999999
ipaussu,74,74,7268.0
timoteo,15,15,7058.0
parai,31,31,6911.71
pocos de caldas,120,120,6906.99
luiz alves,8,8,6729.5
mage,55,55,6693.6900000000005
icara,60,60,6674.0
alfenas,68,68,6610.58
natal,39,39,6576.0
fazenda rio grande,72,72,6545.62
vendas@creditparts.com.br,38,38,6381.78
cruzeiro,95,95,6271.9800000000005
mesquita,80,80,6182.61
bebedouro,135,135,6018.97
dracena,240,240,5986.6
campo grande,33,33,5892.79
coronel fabriciano,42,42,5878.0
taboao da serra,78,78,5788.62
novo horizonte,31,31,5788.52
balneario camboriu,30,30,5769.93
batatais,62,62,5693.53
cosmopolis,18,18,5673.0
sao leopoldo,13,13,5475.9
sao joao del rei,53,53,5370.8
sao paluo,9,9,5279.91
lagoa da prata,49,49,5274.1
taubate,68,68,5149.88
curitibanos,24,24,5117.79
jales,101,101,5039.9
sao joao de meriti,50,50,4970.83
ribeirao das neves,50,50,4956.96
sp,39,39,4910.2
sao pedro,36,36,4907.31
palhoca,40,40,4844.65
tabatinga,39,39,4777.47
fronteira,46,46,4705.29
bertioga,71,71,4702.96
barretos,58,58,4609.7
paraiba do sul,25,25,4537.6
loanda,40,40,4490.18
cafelandia,43,43,4489.27
entre rios do oeste,8,8,4465.34
muqui,26,26,4353.9
rio verde,18,18,4278.75
araucaria,33,33,4215.09
tatui,59,59,4198.88
jaguariuna,67,67,4163.5
mirassol,36,36,3983.1600000000003
anapolis,35,35,3965.42
aracatuba,79,79,3883.91
montes claros,6,6,3849.14
toledo,41,41,3716.57
tres rios,108,108,3714.83
rio bonito,8,8,3694.0
concordia,26,26,3662.0
rodeio,14,14,3656.3
brejao,36,36,3654.25
santo antonio de posse,21,21,3654.0
indaial,8,8,3636.88
